channel_subscribers,title_word_count,title_char_count,title_upper_ratio,title_has_question,title_has_exclamation,publish_dayofweek,publish_hour,is_weekend,is_prime_time,view_count_log1p,like_count_log1p,comment_count_log1p,channel_subscribers_log1p,duration_seconds_log1p,daily_avg_views_log1p,views_per_subscriber,daily_views_per_subscriber,channel_efficiency,recency_score,prime_time_distance,daily_views_vs_category,title_trend_kw,title_hype_kw,title_kw_count,category_1,category_2,category_10,category_17,category_19,category_20,category_22,category_24,category_25,category_26,category_27,category_28,category_29,is_popular
79000,11,63,0.15873015873015872,0,0,3,17,0,1,10.325481962595504,6.129050210060545,1.6094379124341003,11.277215789596893,7.126087273299125,5.306540046413257,0.3860584043239959,0.0025398579231841836,11470.582484725051,0.006535947712418301,2,0.13683653329220188,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1520000,13,63,0.1746031746031746,0,0,4,16,0,0,12.398109357010698,8.645234541297121,6.021023349349527,14.23422155071698,7.321849713788356,7.336161956332708,0.15943542142406486,0.0010090849457219293,130853.75466666666,0.006289308176100629,3,2.009472359391209,1,0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,1
271000,10,53,0.1509433962264151,0,0,0,14,0,0,11.308051503705762,0.0,4.276666119016055,12.509877789891931,6.70196036600254,6.4118427754114435,0.30064095704443894,0.002243589231674918,13742.14465408805,0.007407407407407408,5,0.41464295537074775,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,1
29600,13,83,0.1566265060240964,0,0,3,23,0,0,8.332789468417959,4.553876891600541,1.6094379124341003,10.295563423525277,8.452334619067742,4.143845205995131,0.14043444478227088,0.0020960364892876246,937.6926040061634,0.014705882352941176,4,0.04231216745160905,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2660000,12,54,0.18518518518518517,0,0,4,14,0,0,12.133625600964555,8.62748154531036,6.905753276311464,14.793837056697662,7.029087564149662,7.580253895594997,0.06993305641614421,0.0007361374359594127,104699.41884984025,0.010416666666666666,5,2.2674519284279673,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
1500000,10,46,0.1956521739130435,0,0,3,13,0,0,12.701244384055908,8.522180732927277,6.049733455231958,14.220976332738882,8.283241441385425,7.589759278972272,0.21876985415343056,0.0013178906876712684,130839.77333333333,0.005988023952095809,6,2.2891187478233745,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
280000,16,84,0.17857142857142858,0,0,6,18,1,1,9.407468436087111,6.3080984415095305,3.2188758248682006,12.54254845357358,7.455298485683291,4.036138057021646,0.04349270181177924,0.00019859681192593262,20441.270096463024,0.004545454545454545,1,0.0723593660351973,1,0,4,False,False,False,False,False,False,False,True,False,False,False,False,False,0
467000,17,88,0.06818181818181818,0,0,4,13,0,0,10.42972382000155,7.028201432058005,2.9444389791664403,13.054086677976365,3.6888794541139363,5.621137015100374,0.07248378483129586,0.000589299063669072,40761.124314442415,0.008064516129032258,6,0.18767810622473752,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,0
297,8,32,0.15625,0,0,6,12,1,0,2.3978952727983707,0.0,0.0,5.697093486505405,5.940171252720432,0.05495888428075748,0.03355704697986577,0.0001895878360444394,1906.982142857143,0.0056179775280898875,7,7.401796993150946e-05,1,0,3,False,False,False,False,False,False,True,False,False,False,False,False,False,0
237000,11,59,0.13559322033898305,0,0,1,9,0,0,12.592867884529287,8.125630988477065,4.976733742420574,12.37581963951765,6.664409020350408,7.315415255514921,1.2423998210978013,0.006338774597437762,30356.903870162296,0.005076142131979695,10,1.0245084346424045,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,1
